Num,PaperLink,Plant_latin,Plant_Chinese,Plant_English,Order,Family,DownloadLink,Download,Version,,
62,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10062,Ginkgo biloba, 银杏, ginkgo tree,Ginkgoales,Ginkgoaceae,http://gigadb.org/dataset/100613,Yes,,,
63,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10063,Glycine max, 大豆, soybean,Fabales,Fabaceae,http://plants.ensembl.org/Glycine_max/Info/Index,Yes,Wm82.a2.v1,,
64,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10064,Gnetum montanum, 买麻藤, NA,Gnetales,Gnetaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.0vm37,Yes,,,
65,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10065,Gossypium herbaceum, 草棉, cotton,Malvales,Malvaceae,https://www.cottongen.org/species/Gossypium_herbaceum/A1_WHU,Yes,WHUv3.0rc,,
66,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10066,Gossypium hirsutum, 陆地棉, cotton,Malvales,Malvaceae,https://www.cottongen.org/species/Gossypium_hirsutum/ZJU-AD1_v2.1,Yes,ZJU_v2.1,多个版本,
67,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10067,Helianthus annuus, 向日葵, sunflower,Asterales,Asteraceae,https://www.ncbi.nlm.nih.gov/genome/351?genome_assembly_id=983004,Yes,HanXRQr2.0,,
68,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10068,Hevea brasiliensis, 橡胶树, rubber tree,Malpighiales,Euphorbiaceae,https://www.ncbi.nlm.nih.gov/genome/503?genome_assembly_id=276723,Yes,ASM165405v1,,
69,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10069,Hibiscus cannabinus, 大麻槿、洋麻, kenaf hibiscus,Malvales,Malvaceae,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=GWHACDB00000000+,Yes,,,
70,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10070,Hibiscus syriacus, 木槿, rose of Sharon,Malvales,Malvaceae,https://www.ncbi.nlm.nih.gov/genome/37069?genome_assembly_id=742583,Yes,ASM638163v2,,
71,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10071,Hordeum vulgare, 大麦, barley,Poales,Poaceae,ftp://ftpmips.helmholtz-muenchen.de/plants/barley/genome_release2017/,No,IBSC_PGSB_r1,网站打不开,
72,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10072,Jatropha curcas, 麻风树, leprous Tree,Malpighiales,Euphorbiaceae,https://www.ncbi.nlm.nih.gov/genome/915?genome_assembly_id=1468417,Yes,RJC1_Hi-C,多个版本,
73,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10073,Juglans regia, 胡桃, walnut,Fagales,Juglandaceae,https://www.ncbi.nlm.nih.gov/genome/17683?genome_assembly_id=955338,Yes,Walnut_2.0,多个版本,
74,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10074,Lactuca sativa, 莴苣, lettuce,Asterales,Asteraceae,https://www.ncbi.nlm.nih.gov/genome/352?genome_assembly_id=380229,No,Lsat_Salinas_v7,没有注释文件,
75,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10075,Lagenaria siceraria, 葫芦, bottle gourd,Cucurbitales,Cucurbitaceae,http://cucurbitgenomics.org/ftp/genome/BottleGourd/USVL1VR-Ls/,Yes,v1,,
76,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10076,Lemna minor, 浮萍, common&nbsp;duckweed,Alismatales,Araceae,https://genomevolution.org/coge/SearchResults.pl?s=27408%20type%3A%3Agenome&p=genome,No,,没有蛋白文件,
77,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10077,Linum usitatissimum, 亚麻, flax,Malpighiales,Linaceae,https://phytozome-next.jgi.doe.gov/info/Lusitatissimum_v1_0,Yes,200_v1.0,,
78,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10078,Lonicera japonica, 金银花, Japanese honeysuckle,Dipsacales,Caprifoliaceae,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=Lonicera+japonica,Yes,,,
79,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10079,Lupinus albus, 白羽扇豆, white lupin,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/15582?genome_assembly_id=770531,Yes,La_Amiga3.1,多个版本,
80,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10080,Lupinus angustifolius, 窄叶羽扇豆, narrowleaf lupin,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/11024?genome_assembly_id=293370,Yes,LupAngTanjil_v1.0,,
81,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10081,Macleaya cordata, 博落回, pink plumepoppy,Ranunculales,Papaveraceae,https://www.ncbi.nlm.nih.gov/genome/12912?genome_assembly_id=320133,Yes,MC_HNAU_1.0,,
82,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10082,Manihot esculenta, 木薯, cassave,Malpighiales,Euphorbiaceae,https://www.ncbi.nlm.nih.gov/assembly?LinkName=genome_assembly&from_uid=441,Yes,Manihot_esculenta_v6,,
83,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10083,Marchantia polymorpha, 地钱, liverwort,Marchantiales,Marchantiaceae,https://marchantia.info/download/tak1v5.1/,Yes,v5.1,,
84,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10084,Medicago sativa, 苜蓿, alfalfa,Fabales,Fabaceae,https://figshare.com/articles/dataset/genome_fasta_sequence_and_annotation_files/12327602,Yes,,,
85,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10085,Miscanthus sinensis, 芒, Chinese silvergrass,Poales,Poaceae,https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Msinensis,Yes,497_v7.1,,
86,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10086,Momordica charantia, 苦瓜, bitter gourd,Cucurbitales,Cucurbitaceae,https://www.ncbi.nlm.nih.gov/genome/12860?genome_assembly_id=306190,Yes,ASM199503v1,,
87,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10087,Musa acuminata, 香蕉, banana,Zingiberales,Musaceae,https://banana-genome-hub.southgreen.fr/node/50/1161443,No,v2,找不到文件,
88,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10088,Nelumbo nucifera, 荷花、莲, lotus,Proteales,Nelumbonaceae,http://nelumbo.biocloud.net/nelumbo/download/download,Yes,v2.0,,
89,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10089,Nicotiana tabacum, 烟草, common tobacco,Solanales,Solanaceae,https://www.ncbi.nlm.nih.gov/genome/425?genome_assembly_id=274804,Yes,Ntab-TN90,,
90,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10090,Nyssa sinensis, 紫树, Chinese tupelo,Cornales,Nyssaceae,,No,,没有蛋白文件,
91,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10091,Ocimum basilicum, 罗勒, sweet basil,Lamiales,Lamiaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.jwstqjq6t,Yes,,,
92,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10092,Olea europaea, 油橄榄, olive,Lamiales,Oleaceae,https://denovo.cnag.cat/olive_data?fid=928#block-likable-page-title,Yes,europaea,,
93,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10093,Origanum majorana, 甘牛至、马郁兰, sweet marjoram,Lamiales,Lamiaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.jwstqjq6t,Yes,,,
94,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10094,Origanum vulgare, 牛至, oregano,Lamiales,Lamiaceae,https://datadryad.org/stash/dataset/doi:10.5061/dryad.jwstqjq6t,Yes,,,
95,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10095,Oryza sativa, 水稻, rice,Poales,Poaceae,https://www.ncbi.nlm.nih.gov/genome/10?genome_assembly_id=22512,Yes,Build_4.0,,
96,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10096,Panax ginseng, 人参, Asian ginseng,Apiales,Araliaceae,http://ginsengdb.snu.ac.kr/data.php,Yes,,,
97,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10097,Panicum miliaceum, 黍, broomcorn millet,Poales,Poaceae,https://genomevolution.org/coge/GenomeInfo.pl?gid=52484,No,,没有蛋白文件,
98,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10098,Papaver somniferum, 罂粟, opium poppy,Ranunculales,Papaveraceae,https://www.ncbi.nlm.nih.gov/genome/12819?genome_assembly_id=406996,Yes,ASM357369v1,,
99,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10099,Persea americana, 鳄梨, avocado,Laurales,Lauraceae,https://genomevolution.org/coge/SearchResults.pl?s=29302&p=genome,No,,没有蛋白文件,
100,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10100,Phaseolus vulgaris, 菜豆, common bean,Fabales,Fabaceae,https://www.ncbi.nlm.nih.gov/genome/380?genome_assembly_id=48590,Yes,G19833,,
101,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10101,Phoenix dactylifera, 海枣, date palm,Arecales,Arecaceae,https://datepalmgenomehub.abudhabi.nyu.edu/?q=node/12,Yes,unan_180126,,
102,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10102,Phyllostachys edulis, 孟宗竹、毛竹, moso bamboo,Poales,Poaceae,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100498/,No,,网站打不开,
103,http://cbcb.cdutcm.edu.cn/TCMPG/resource/plants/details?id=TCMPG10103,Picea abies, 挪威云杉、欧洲云杉, Norway spruce,Pinales,Pinaceae,ftp://plantgenie.org/Data/ConGenIE/Picea_abies/v1.0/,No,,网站打不开,
